TERRITORY,IPC,NATION,INFANTRY,ARTILLERY,TANK,FIGHTER,BOMBER,AA_GUN,DESTROYER,TRANSPORT,CRUISER,AIRCRAFT_CARRIER,SUBMARINE,BATTLESHIP
Russia                  ,  8, USSR,     4, 1, 2, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0
Karelia                 ,  2, USSR,     4, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0
Archangel               ,  2, USSR,     1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Novosibirsk             ,  2, USSR,     1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Caucasus                ,  4, USSR,     3, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
Kazakh                  ,  2, USSR,     1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Evenki National Okrug   ,  1, USSR,     2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Yakut                   ,  1, USSR,     1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Buryatia                ,  1, USSR,     2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Soviet Far East         ,  1, USSR,     2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4                       ,  0, USSR,     0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Germany                 , 10, GERMANY,  3, 0, 2, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0
France                  ,  6, GERMANY,  1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
Norway                  ,  3, GERMANY,  2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Balkans                 ,  3, GERMANY,  1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Eastern Europe          ,  3, GERMANY,  2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Italy                   ,  6, GERMANY,  1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
Ukraine                 ,  3, GERMANY,  3, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Belorussia              ,  2, GERMANY,  3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
West Russia             ,  2, GERMANY,  3, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
